#,started on Sat,01-10-2014 06:36,,
,,,,
#,time,counts unit,events,
,2.255268204,"57,733",LLC-store-misses,-41.89%
,2.255268204,"55,85,147",branch-load-misses,-52.53%
,2.255268204,"34,44,68,769",cycles,-63.17%
,2.255268204,"58,44,93,208",instructions                     #    1.70  insn per cycle,-73.40%
,2.330436323,"55,53,754",branch-misses,-57.43%
,2.330436323,"1,92,314",cache-misses,-68.07%
,2.330436323,"3,86,202",L1-dcache-load-misses,-68.07%
,2.330436323,"13,473",L1-icache-load-misses,-69.60%
,2.330436323,"30,765",dTLB-load-misses,-74.92%
,2.330436323,"2,649",dTLB-store-misses,-80.24%
,2.330436323,119,iTLB-load-misses,-41.05%
,2.330436323,"41,951",LLC-load-misses,-35.73%
,2.330436323,"56,608",LLC-store-misses,-30.41%
,2.330436323,"55,32,052",branch-load-misses,-35.73%
,2.330436323,"34,39,31,325",cycles,-41.05%
,2.330436323,"57,91,28,847",instructions                     #    1.68  insn per cycle,-46.79%
,2.405617588,"56,04,856",branch-misses,-76.02%
,2.405617588,"2,06,539",cache-misses,-84.04%
,2.405617588,"3,94,046",L1-dcache-load-misses,-84.04%
,2.405617588,"13,729",L1-icache-load-misses,-82.51%
,2.405617588,"26,033",dTLB-load-misses,-77.19%
,2.405617588,"2,738",dTLB-store-misses,-71.87%
,2.405617588,100,iTLB-load-misses,-22.81%
,2.405617588,"54,690",LLC-load-misses,-28.13%
,2.405617588,"56,914",LLC-store-misses,-33.45%
,2.405617588,"55,60,619",branch-load-misses,-44.09%
,2.405617588,"34,45,34,285",cycles,-54.73%
,2.405617588,"57,36,53,742",instructions                     #    1.67  insn per cycle,-65.37%
,2.480778347,"56,23,646",branch-misses,-60.12%
,2.480778347,"1,77,539",cache-misses,-68.07%
,2.480778347,"3,71,394",L1-dcache-load-misses,-68.07%
,2.480778347,"13,484",L1-icache-load-misses,-68.07%
,2.480778347,"26,715",dTLB-load-misses,-68.07%
,2.480778347,"2,674",dTLB-store-misses,-71.80%
,2.480778347,131,iTLB-load-misses,-42.58%
,2.480778347,"40,525",LLC-load-misses,-42.58%
,2.480778347,"56,443",LLC-store-misses,-38.84%
,2.480778347,"56,14,832",branch-load-misses,-44.17%
,2.480778347,"34,43,98,194",cycles,-49.49%
,2.480778347,"58,73,32,859",instructions                     #    1.71  insn per cycle,-54.81%
,2.55594039,"55,68,589",branch-misses,-67.60%
,2.55594039,"2,02,906",cache-misses,-78.24%
,2.55594039,"4,01,486",L1-dcache-load-misses,-83.57%
,2.55594039,"13,549",L1-icache-load-misses,-84.03%
,2.55594039,"29,577",dTLB-load-misses,-84.03%
,2.55594039,"3,026",dTLB-store-misses,-80.30%
,2.55594039,137,iTLB-load-misses,-21.76%
,2.55594039,"50,580",LLC-load-misses,-21.29%
,2.55594039,"57,280",LLC-store-misses,-25.02%
,2.55594039,"55,39,415",branch-load-misses,-35.66%
,2.55594039,"34,45,47,020",cycles,-46.30%
,2.55594039,"57,79,96,572",instructions                     #    1.68  insn per cycle,-56.95%
,2.631116425,"56,04,466",branch-misses,-68.54%
,2.631116425,"2,06,046",cache-misses,-73.86%
,2.631116425,"4,26,654",L1-dcache-load-misses,-68.54%
,2.631116425,"13,006",L1-icache-load-misses,-68.08%
,2.631116425,"32,115",dTLB-load-misses,-68.08%
,2.631116425,"2,706",dTLB-store-misses,-68.08%
,2.631116425,114,iTLB-load-misses,-42.09%
,2.631116425,"45,113",LLC-load-misses,-42.56%
,2.631116425,"57,302",LLC-store-misses,-42.56%
,2.631116425,"55,91,027",branch-load-misses,-52.58%
,2.631116425,"34,45,81,882",cycles,-57.91%
,2.631116425,"57,42,77,648",instructions                     #    1.67  insn per cycle,-63.23%
,2.706280457,"56,46,210",branch-misses,-59.17%
,2.706280457,"2,13,534",cache-misses,-69.81%
,2.706280457,"4,22,761",L1-dcache-load-misses,-75.13%
,2.706280457,"13,485",L1-icache-load-misses,-80.45%
,2.706280457,"33,732",dTLB-load-misses,-84.03%
,2.706280457,"2,785",dTLB-store-misses,-84.04%
,2.706280457,202,iTLB-load-misses,-30.20%
,2.706280457,"53,339",LLC-load-misses,-24.88%
,2.706280457,"56,800",LLC-store-misses,-21.29%
,2.706280457,"56,48,658",branch-load-misses,-27.23%
,2.706280457,"34,43,97,434",cycles,-37.87%
,2.706280457,"57,63,78,583",instructions                     #    1.67  insn per cycle,-48.51%
,2.78145118,"56,20,907",branch-misses,-76.97%
,2.78145118,"2,66,042",cache-misses,-82.30%
,2.78145118,"4,90,178",L1-dcache-load-misses,-76.98%
,2.78145118,"16,812",L1-icache-load-misses,-71.66%
,2.78145118,"50,365",dTLB-load-misses,-68.07%
,2.78145118,"2,025",dTLB-store-misses,-68.07%
,2.78145118,377,iTLB-load-misses,-33.66%
,2.78145118,"60,084",LLC-load-misses,-38.98%
,2.78145118,"58,566",LLC-store-misses,-42.57%
,2.78145118,"56,04,822",branch-load-misses,-53.21%
,2.78145118,"34,45,09,729",cycles,-63.85%
,2.78145118,"56,56,54,936",instructions                     #    1.64  insn per cycle,-71.66%
,2.85663368,"56,05,173",branch-misses,-57.44%
,2.85663368,"2,68,127",cache-misses,-68.08%
,2.85663368,"4,99,124",L1-dcache-load-misses,-68.08%
,2.85663368,"13,478",L1-icache-load-misses,-72.00%
,2.85663368,"48,523",dTLB-load-misses,-77.32%
,2.85663368,"1,986",dTLB-store-misses,-82.64%
,2.85663368,124,iTLB-load-misses,-38.64%
,2.85663368,"66,414",LLC-load-misses,-33.32%
,2.85663368,"58,649",LLC-store-misses,-28.00%
,2.85663368,"55,90,436",branch-load-misses,-33.33%
,2.85663368,"34,46,16,500",cycles,-38.65%
,2.85663368,"56,37,70,237",instructions                     #    1.64  insn per cycle,-46.80%
,2.931808173,"56,21,587",branch-misses,-78.42%
,2.931808173,"2,61,167",cache-misses,-84.04%
,2.931808173,"4,99,207",L1-dcache-load-misses,-84.04%
,2.931808173,"14,337",L1-icache-load-misses,-80.11%
,2.931808173,"52,145",dTLB-load-misses,-74.79%
,2.931808173,"1,784",dTLB-store-misses,-69.47%
,2.931808173,107,iTLB-load-misses,-25.21%
,2.931808173,"62,267",LLC-load-misses,-30.53%
,2.931808173,"58,826",LLC-store-misses,-35.85%
,2.931808173,"56,25,173",branch-load-misses,-46.49%
,2.931808173,"34,46,09,289",cycles,-57.12%
,2.931808173,"56,44,78,130",instructions                     #    1.64  insn per cycle,-67.77%
,3.006980597,"56,48,109",branch-misses,-57.72%
,3.006980597,"2,64,415",cache-misses,-68.07%
,3.006980597,"4,99,593",L1-dcache-load-misses,-68.07%
,3.006980597,"12,992",L1-icache-load-misses,-68.07%
,3.006980597,"48,491",dTLB-load-misses,-68.88%
,3.006980597,"1,739",dTLB-store-misses,-74.20%
,3.006980597,187,iTLB-load-misses,-42.57%
,3.006980597,"61,872",LLC-load-misses,-41.77%
,3.006980597,"59,383",LLC-store-misses,-36.45%
,3.006980597,"56,48,972",branch-load-misses,-41.77%
,3.006980597,"34,45,74,221",cycles,-47.09%
