,branch-misses,cache-misses,L1-dcache-load-misses,L1-icache-load-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,LLC-load-misses,LLC-store-misses,branch-load-misses,cycles,instructions
6999,668084,1171261,6868701,21395,5501,8903,639,66155,109526,746738,228723598,374276431
7000,587824,207261,2026750,25398,613,3274,639,4771,18450,401120,232332248,211340821
7001,194939,931958,2039230,29390,1815,694,1311,144309,367372,237641,226737703,453081972
7002,430327,1516804,7699405,525711,6219,18192,601,81018,162618,346522,228452543,574945681
7003,241984,1001660,6129450,20456,7287,11167,324,13982,19502,187335,230647508,291949856
7004,393700,1346975,7039458,20741,7398,10112,734,42630,120132,467497,228639658,500820912
7005,706100,295672,2265119,19634,616,2662,107,4039,75578,615975,231933878,235412984
7006,615863,837904,3478360,59261,6768,15682,362,1802,109,644795,232303148,379648321
7007,283199,576673,4896767,739383,2866,10627,2560,21085,52469,236238,228620185,522929216
7008,294717,1544627,5896913,22114,2883,9027,352,89293,243447,340815,229064639,441449084
