,branch-misses,cache-misses,L1-dcache-load-misses,L1-icache-load-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,LLC-load-misses,LLC-store-misses,branch-load-misses,cycles,instructions
5671,534885,1483619,8279654,23718,8530,11268,363,28422,98811,583057,228441020,580232605
5672,631634,270480,2174668,20584,334,1883,1015,9232,56611,504524,231657439,250092290
5673,440433,942756,2974713,59420,8030,18441,542,2237,380,448466,230761214,415998230
5674,356300,1476582,6438326,497992,5683,17513,1150,196030,316237,476831,228624300,588917981
5675,253532,1211459,4925188,16783,4317,9557,541,43994,132026,301573,230064439,307601015
5676,393042,1420496,7878515,20396,7030,6820,511,112362,284323,386678,230416259,494489329
5677,561793,425363,2731796,14014,1315,7170,245,22892,85622,569012,231206927,225164802
5678,633237,106705,2735380,56666,6537,16039,1658,83786,15363,600281,230998909,365673430
5679,383180,1023224,4492145,41619,3089,10942,1402,19882,113737,409365,229587569,506370754
5680,313136,1063794,4792049,15457,5038,13702,1179,106957,265379,417590,228366888,470021500
5681,353909,1292092,7224872,22251,7307,11333,23,573,41935,206372,229340001,379496230
5682,596103,875317,4951621,18108,4112,10547,556,50904,26298,556135,229643827,316981500
5683,741377,186767,2265486,32769,650,3313,737,1588,136,612034,232249804,261400403
5684,249096,937505,2721163,576248,3689,4773,1343,116549,318032,238791,227471764,465302743
5685,524197,1878983,10333440,308097,6044,15797,986,126308,315879,563731,228236848,640448123
5686,238763,1128353,4596936,15953,3925,8423,633,60393,144326,301383,229840007,274957728
5687,395228,1552298,8605850,20712,8244,8964,580,89119,275314,313770,229528831,501785973
5688,648473,293755,2399637,19428,1133,4974,4,495,1905,704797,231900327,212965589
5689,507221,77295,2410570,54448,7495,15944,1412,63052,472,439647,231567881,393219959
5690,468020,1261362,5725413,41376,4325,13362,3358,28180,205483,616732,228975449,524048363
5691,362549,1331603,6028890,15980,6247,14526,1012,105787,277963,430923,232355111,510203863
5692,300886,1146160,6236974,19571,7450,10484,427,27737,3835,159383,230107113,332692160
5693,658947,619717,4030031,13402,1412,7359,225,41895,63999,525082,230469137,237908713
5694,629768,870402,3394866,38257,622,3720,1581,116693,317163,604248,228861686,372828358
5695,275199,763527,3596679,506516,3750,8173,56,69593,93047,162306,228398342,469224709
5696,330668,1486421,6776757,27187,5993,11446,234,56958,235806,340016,228823908,462587617
5697,232633,882817,6159291,20641,6204,9373,431,1767,37756,188584,231764504,305119195
5698,653121,1336904,7140208,19680,6327,12095,334,40863,71052,762259,229594421,423025295
5699,494196,114198,1744133,26850,402,2934,1377,4896,13572,578354,231269350,279765046
5700,287283,772058,2096635,280292,7946,19812,254,2421,1177,359810,229581918,435581148
5701,375048,1799689,8502557,358824,7166,20660,864,58611,175528,344599,230243492,515748876
5702,249028,926995,4363071,17247,4288,9043,1170,86167,122960,263913,230770803,267273676
5703,564169,1651300,8799649,19370,8879,15877,648,69737,188768,551002,229514425,506468011
5704,740096,279341,2370297,23095,874,2270,124,695,44629,856206,231422241,233133405
5705,442470,547357,2806894,60268,7946,19470,1266,1860,345,405440,232206904,402472514
5706,499940,1291106,6494212,324140,6690,17923,1586,138312,183258,775776,227609605,569594819
5707,306824,1011974,5402254,18442,5669,8102,738,48453,118380,374923,229882613,432398527
5708,349831,1327878,7037746,22017,8046,9249,551,40423,43035,325380,228738292,420943650
5709,460430,506221,2820557,17805,1450,6705,163,31678,119642,256963,231201458,178562607
5710,584513,706338,2590469,47609,2980,10394,1586,168896,313848,538020,228361692,368938714
5711,269314,336698,4779117,764454,1980,3007,754,5732,127049,288558,231234457,498628334
5712,303073,1485872,6679100,29382,6792,19625,1275,53216,131511,237933,230476063,408493902
5713,304040,1112601,4776809,17624,4300,8362,883,64321,172439,382393,230108948,334814811
5714,570627,1382652,8288822,21378,9139,16962,645,57915,160755,642333,229845687,439960375
5715,820243,207469,2260141,27860,767,1298,295,1024,37060,772314,231183694,257837237
5716,351200,492538,2335285,52482,7042,15482,1620,1669,354,346171,232304708,416047676
5717,534520,1505233,7617241,492374,8106,21606,1671,93911,162071,584926,228048009,561015617
5718,294255,988413,4906958,17603,4628,6485,996,45099,105490,399177,229339314,399336556
5719,329929,1434918,7504635,26139,9088,10149,411,53992,123928,292250,229522195,399400431
5720,543061,335785,2282941,19118,1049,4730,244,1021,30746,361938,232193995,150225470
